"","municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"111","Alberic","no_low_cost",1.389,1.359,1.37766666666667,NA,NA,NA
"112","Alberite","low_cost",1.399,1.399,1.399,NA,NA,NA
"113","Alberite de San Juan","no_low_cost",1.369,1.369,1.369,1.579,1.579,1.579
"114","Albero Bajo","low_cost",1.26,1.26,1.26,NA,NA,NA
"115","Albesa","low_cost",1.245,1.245,1.245,NA,NA,NA
"116","Albocàsser","low_cost",1.379,1.379,1.379,NA,NA,NA
"117","Albolote","low_cost",1.369,1.214,1.26983333333333,NA,NA,NA
"118","Albolote","no_low_cost",1.399,1.369,1.384,NA,NA,NA
"119","Alborache","no_low_cost",1.349,1.349,1.349,NA,NA,NA
"120","Alboraya","low_cost",1.289,1.259,1.274,NA,NA,NA
"121","Alboraya","no_low_cost",1.389,1.369,1.374,NA,NA,NA
"122","Albox","low_cost",1.379,1.249,1.3082,NA,NA,NA
"123","Albox","no_low_cost",1.349,1.349,1.349,NA,NA,NA
"124","Albuera (La)","no_low_cost",1.439,1.399,1.419,NA,NA,NA
"125","Albuixech","no_low_cost",1.369,1.329,1.349,NA,NA,NA
"126","Albuñán","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"127","Albuñol","low_cost",1.349,1.349,1.349,NA,NA,NA
"128","Albuñol","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"129","Alburquerque","no_low_cost",1.404,1.399,1.4015,NA,NA,NA
"130","Alcabón","low_cost",1.349,1.349,1.349,NA,NA,NA
"131","Alcadozo","no_low_cost",1.439,1.439,1.439,NA,NA,NA
"132","Alcalá de Guadaíra","low_cost",NA,NA,NA,NA,NA,NA
"133","Alcalá de Guadaíra","no_low_cost",1.439,1.29,1.39676470588235,NA,NA,NA
"134","Alcalá de Henares","low_cost",1.439,1.297,1.34921428571429,NA,NA,NA
"135","Alcalá de Henares","no_low_cost",1.459,1.339,1.41766666666667,NA,NA,NA
"136","Alcalá de la Selva","no_low_cost",1.369,1.369,1.369,NA,NA,NA
"137","Alcalá de los Gazules","no_low_cost",1.379,1.369,1.374,NA,NA,NA
"138","Alcalà de Xivert","low_cost",1.379,1.359,1.369,NA,NA,NA
"139","Alcalà de Xivert","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"140","Alcalá del Júcar","low_cost",1.359,1.359,1.359,NA,NA,NA
"141","Alcalá del Río","low_cost",1.39,1.255,1.3225,NA,NA,NA
"142","Alcalá del Río","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"143","Alcalá del Valle","low_cost",1.259,1.259,1.259,NA,NA,NA
"144","Alcalá del Valle","no_low_cost",1.298,1.298,1.298,NA,NA,NA
"145","Alcalá la Real","low_cost",1.369,1.22,1.3112,NA,NA,NA
"146","Alcalá la Real","no_low_cost",1.409,1.379,1.39233333333333,NA,NA,NA
"147","Alcalalí","no_low_cost",1.409,1.409,1.409,NA,NA,NA
"148","Alcampell","low_cost",NA,NA,NA,NA,NA,NA
"149","Alcanadre","low_cost",NA,NA,NA,NA,NA,NA
"150","Alcanar","low_cost",1.409,1.409,1.409,NA,NA,NA
"151","Alcanar","no_low_cost",1.249,1.249,1.249,NA,NA,NA
"152","Alcañices","no_low_cost",1.419,1.419,1.419,NA,NA,NA
"153","Alcañiz","low_cost",1.259,1.216,1.2306,NA,NA,NA
"154","Alcañiz","no_low_cost",1.393,1.379,1.386,NA,NA,NA
"155","Alcántara","low_cost",1.329,1.329,1.329,NA,NA,NA
"156","Alcantarilla","low_cost",1.319,1.225,1.2554,NA,NA,NA
"157","Alcantarilla","no_low_cost",1.379,1.362,1.3696,NA,NA,NA
"158","Alcaracejos","low_cost",1.389,1.389,1.389,NA,NA,NA
"159","Alcaraz","no_low_cost",1.389,1.379,1.384,NA,NA,NA
"160","Alcarràs","low_cost",1.269,1.192,1.23,NA,NA,NA
"161","Alcarràs","no_low_cost",1.229,1.229,1.229,NA,NA,NA
"162","Alcàsser","low_cost",1.299,1.299,1.299,NA,NA,NA
"163","Alcàsser","no_low_cost",1.374,1.334,1.354,NA,NA,NA
"164","Alcaudete","low_cost",1.222,1.222,1.222,NA,NA,NA
"165","Alcaudete","no_low_cost",1.429,1.389,1.4115,NA,NA,NA
"166","Alcázar de San Juan","low_cost",1.369,1.279,1.314,NA,NA,NA
"167","Alcázar de San Juan","no_low_cost",1.419,1.375,1.3995,NA,NA,NA
"168","Alcazarén","no_low_cost",1.297,1.297,1.297,NA,NA,NA
"169","Alcázares (Los)","low_cost",1.379,1.239,1.33233333333333,NA,NA,NA
"170","Alcázares (Los)","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"171","Alcobendas","low_cost",1.439,1.309,1.37122222222222,NA,NA,NA
"172","Alcobendas","no_low_cost",1.469,1.399,1.4445,NA,NA,NA
"173","Alcolea de Calatrava","low_cost",1.369,1.369,1.369,NA,NA,NA
"174","Alcolea de Tajo","low_cost",NA,NA,NA,NA,NA,NA
"175","Alcolea de Tajo","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"176","Alcolea del Pinar","no_low_cost",1.429,1.419,1.424,NA,NA,NA
"177","Alcolea del Río","low_cost",1.339,1.339,1.339,NA,NA,NA
"178","Alcoletge","low_cost",NA,NA,NA,NA,NA,NA
"179","Alcoletge","no_low_cost",1.429,1.429,1.429,NA,NA,NA
"180","Alconchel","no_low_cost",1.399,1.399,1.399,NA,NA,NA
"181","Alcora (l')","low_cost",1.369,1.319,1.35233333333333,NA,NA,NA
"182","Alcora (l')","no_low_cost",1.379,1.379,1.379,NA,NA,NA
"183","Alcorcón","low_cost",NA,NA,NA,NA,NA,NA
"184","Alcorcón","no_low_cost",1.449,1.369,1.41844444444444,NA,NA,NA
"185","Alcorisa","low_cost",1.329,1.329,1.329,NA,NA,NA
"186","Alcorisa","no_low_cost",1.389,1.389,1.389,NA,NA,NA
"187","Alcover","low_cost",1.308,1.269,1.2885,NA,NA,NA
"188","Alcoy/Alcoi","low_cost",1.389,1.284,1.32525,NA,NA,NA
"189","Alcoy/Alcoi","no_low_cost",1.389,1.359,1.379,NA,NA,NA
"190","Alcubierre","low_cost",1.249,1.249,1.249,NA,NA,NA
